CALDT,B30RET,B20RET,B10RET,B7RET,B5RET,B2RET,B1RET,T90RET,T30RET,CPIRET,B30IND,B20IND,B10IND,B7IND,B5IND,B2IND,B1IND,T90IND,T30IND,CPIIND
1925-12-31,,,,,,,,,,,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,34.836930,38.910820,42.1
1926-01-30,,,,,,,,0.004042,0.002951,0.000000,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,34.977740,39.025650,42.1
1926-02-27,,,,,,,,0.003237,0.002768,0.000000,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.090960,39.133670,42.1
1926-03-31,,,,,,,,0.002778,0.002778,-0.005587,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.188430,39.242380,41.9
1926-04-30,,,,,,,,0.003072,0.003072,0.005618,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.296530,39.362930,42.1
1926-05-28,,,,,,,,0.001965,0.000342,-0.005587,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.365890,39.376390,41.9
1926-06-30,,,,,,,,0.003459,0.003459,-0.005618,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.488240,39.512620,41.6
1926-07-31,,,,,,,,0.002243,0.002243,-0.011299,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.567840,39.601220,41.2
1926-08-31,,,,,,,,0.002069,0.002536,-0.005714,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.641420,39.701650,40.9
1926-09-30,,,,,,,,0.002273,0.002273,0.005747,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.722450,39.791920,41.2
1926-10-30,,,,,,,,0.003195,0.003195,0.005714,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.836580,39.919040,41.4
1926-11-30,,,,,,,,0.004337,0.003093,0.005682,50.270880,49.268750,46.975440,40.414100,38.345210,39.545980,39.843570,35.991980,40.042510,41.6
